text,standardized_text,processed_text
"The WISE activity was effective for students because it allows them to reflect on various scenarios, collaborate with partners, and make and test their predictions. It allowed students to run experiments that would normally take a long amount of time. It also had students test their predictions by doing hands-on activities around the classroom not involving the computer to solidify their understanding by making it real to them. The program also encourages students to investigate, measure, and think about the possible explanations instead of just telling them the answer.",the wise activity was effective for students because it allows them to reflect on various scenarios  collaborate with partners  and make and test their predictions. it allowed students to run experiments that would normally take a long amount of time. it also had students test their predictions by doing hands on activities around the classroom not involving the computer to solidify their understanding by making it real to them. the program also encourages students to investigate  measure  and think about the possible explanations instead of just telling them the answer.,wise activity effective student allow reflect various scenario collaborate partner make test prediction allow student run experiment normally take long amount time also student test prediction hand activity classroom involve computer solidify understanding make real program also encourage student investigate measure think possible explanation instead tell answer  
Being able to visualize the flow of heat and combining this with observations they could make at the macroscopic level.,being able to visualize the flow of heat and combining this with observations they could make at the macroscopic level.,able visualize flow heat combine observation make macroscopic level  
"web based systems and giving assignments, projects and also making the students to learn from doing experiments.",web based systems and giving assignments  projects and also making the students to learn from doing experiments.,web base system give assignment project also make student learn experiment  
"visuals, daily relatable experience, personalisation of knowledge with first hand information.",visuals  daily relatable experience  personalisation of knowledge with first hand information.,visuals daily relatable experience personalisation knowledge first hand information  
"Excited to hear about WISE platform. It is a good tool to organise the whole lesson. Starting from the curriculum, videos, exercises and some autonomy for learners interaction. ",excited to hear about wise platform. it is a good tool to organise the whole lesson. starting from the curriculum  videos  exercises and some autonomy for learners interaction. ,excite hear wise platform good tool organise whole lesson start curriculum video exercise autonomy learner interaction  
"mostly the guidance of students,  but also a little bit the guidance of teachers\r\n",mostly the guidance of students   but also a little bit the guidance of teachers  ,mostly guidance student also little bit guidance teacher 
Approaching real situations and suits individual needs and understanding concepts and predictions.,approaching real situations and suits individual needs and understanding concepts and predictions.,approach real situation suit individual need understanding concept prediction  
"It's hard to get a good sense of the WISE platform from the video. It's a good overview, but without being able to dig into  it myself, it's difficult to answer this question effectively. I'd have to take Jennifer's reflection as a way of informing the effective aspects of the WISE platform, that is, that it allowed students to solidifying their understanding of the concepts through virtual experimentation, that it scaffolded the learning for the students, and from the looks of it, students were able to work in pairs to work through the tasks. There's no mention of how the students were grouped, so it's hard to know what impact that had on building student understanding.",it's hard to get a good sense of the wise platform from the video. it's a good overview  but without being able to dig into  it myself  it's difficult to answer this question effectively. i'd have to take jennifer's reflection as a way of informing the effective aspects of the wise platform  that is  that it allowed students to solidifying their understanding of the concepts through virtual experimentation  that it scaffolded the learning for the students  and from the looks of it  students were able to work in pairs to work through the tasks. there's no mention of how the students were grouped  so it's hard to know what impact that had on building student understanding.,hard get good sense wise platform video good overview able dig difficult answer question effectively take jennifer reflection way inform effective aspect wise platform allow student solidify understanding concept virtual experimentation scaffold learning student look student able work pair work task mention student group hard know impact building student understand  
Testing progress section Testing progress section Testing progress section Testing progress section,testing progress section testing progress section testing progress section testing progress section,test progress section test progress section test progress section test progress section 
I think the area where students explored in melting chocolate chips and touching an iron with different bars made of glass and metal really gave a huge understanding to the students. ,i think the area where students explored in melting chocolate chips and touching an iron with different bars made of glass and metal really gave a huge understanding to the students. ,think area student explore melt chocolate chip touch iron different bar make glass metal really give huge understanding student  
"Using WISE students were able to practice. I believe when students put the theory into practice, they are able to learn effectively.",using wise students were able to practice. i believe when students put the theory into practice  they are able to learn effectively.,use wise student able practice believe student put theory practice able learn effectively  
"Groups working and hands on. When students have the chance to really feel the science behind usual objects and situations, they find a meaning and reason to learn.  ",groups working and hands on. when students have the chance to really feel the science behind usual objects and situations  they find a meaning and reason to learn.  ,group work hand student chance really feel science usual object situation find meaning reason learn  
"Any time students can see and then apply/do, you're working to create an environment of understanding. I appreciated the visuals and templates provided by WISE, but really appreciated the fact the kids were not just screen timing it the entire lesson - students were seeing and doing. ",any time students can see and then apply do  you're working to create an environment of understanding. i appreciated the visuals and templates provided by wise  but really appreciated the fact the kids were not just screen timing it the entire lesson   students were seeing and doing. ,time student see apply work create environment understand appreciate visuals template provide wise really appreciate fact kid screen time entire lesson student see  
"The way the content was broken down and used. Also, it allowed the teacher to work with students in smaller groups and get a better feel of how the students were understanding the material.",the way the content was broken down and used. also  it allowed the teacher to work with students in smaller groups and get a better feel of how the students were understanding the material.,way content break use also allow teacher work student small group get good feel student understand material  
The visualizations of concepts that might otherwise be difficult for students to conceptualize. I am also intrigued by the possibility of the program collecting student input/answers/ideas in a way that's manageable for the teacher to review and give feedback on.,the visualizations of concepts that might otherwise be difficult for students to conceptualize. i am also intrigued by the possibility of the program collecting student input answers ideas in a way that's manageable for the teacher to review and give feedback on.,visualization concept otherwise difficult student conceptualize also intrigue possibility program collecting student input answer idea way manageable teacher review give feedback  
Use of prediction based on reading/study.  Then experimenting with objects in the room.,use of prediction based on reading study.  then experimenting with objects in the room.,use prediction base reading study experiment object room  
"It seemed as though a notable benefit of the platform was that broke the topic down into manageable chunks that students could work on at their own paces. The fact that it also allowed Jennifer to monitor students' progress in real time (or close to it) seemed quite valuable as she could pause, tweak, or discuss the lesson/topic as needed, based on the patterns through which students were progressing. ",it seemed as though a notable benefit of the platform was that broke the topic down into manageable chunks that students could work on at their own paces. the fact that it also allowed jennifer to monitor students' progress in real time  or close to it  seemed quite valuable as she could pause  tweak  or discuss the lesson topic as needed  based on the patterns through which students were progressing. ,seem notable benefit platform break topic manageable chunk student work pace fact also allow jennifer monitor student progress real time close seem quite valuable pause tweak discuss lesson topic need base pattern student progress  
"Visualization and simulation, experimentation when the objects that might be needed were not at hand.",visualization and simulation  experimentation when the objects that might be needed were not at hand.,visualization simulation experimentation object need hand  
"Helps students to go about a self inquiry process and space to fill in their ideas, responses and helps students in breaking down the concepts into a simpler blocks",helps students to go about a self inquiry process and space to fill in their ideas  responses and helps students in breaking down the concepts into a simpler blocks,help student go self inquiry process space fill idea response help student break concept simpler block 
"wise platform help students to learn  the topic in ana interactive way,they can make simulations split the topic in small ides and understad each idea to more understand the top.and the teacher can see all kind of ideas an explination that students gives on the platform.",wise platform help students to learn  the topic in ana interactive way they can make simulations split the topic in small ides and understad each idea to more understand the top.and the teacher can see all kind of ideas an explination that students gives on the platform.,wise platform help student learn topic ana interactive way make simulation split topic small ides understad idea understand top teacher see kind idea explination student give platform  
That fact that it could be self paced and allowed for collaboration as well as individual inquiry.  The teacher was able to engage with students as they were doing things instead of after the fact.  She could pause the learning to reflect on what they had already understood and show interesting points brought up by other students even though they weren't working as a class.,that fact that it could be self paced and allowed for collaboration as well as individual inquiry.  the teacher was able to engage with students as they were doing things instead of after the fact.  she could pause the learning to reflect on what they had already understood and show interesting points brought up by other students even though they weren't working as a class.,fact self paced allow collaboration well individual inquiry teacher able engage student thing instead fact pause learning reflect already understood show interesting point bring student even working class  
"investigate and think of possible answers, able to differentiate to focus on areas of need for each student, students use own ideas and then investigate to understand, with difficult topics using WISE activities students are more engaged and will understand and learn more about the specific topic.  The simulations the WISE activities provided gives students visualizations that help some students learn and develop a deeper understanding",investigate and think of possible answers  able to differentiate to focus on areas of need for each student  students use own ideas and then investigate to understand  with difficult topics using wise activities students are more engaged and will understand and learn more about the specific topic.  the simulations the wise activities provided gives students visualizations that help some students learn and develop a deeper understanding,investigate think possible answer able differentiate focus area need student student use idea investigate understand difficult topic use wise activity student engaged understand learn specific topic simulation wise activity provide give student visualization help student learn develop deep understanding 
"Where the students had to prove understanding of the material through WISE. That alllows them to personally address some issues with their learning process, allows them to be more engaged in their own learning.",where the students had to prove understanding of the material through wise. that alllows them to personally address some issues with their learning process  allows them to be more engaged in their own learning.,student prove understanding material wise alllows personally address issue learning process allow engage learning  
"I liked the ability to participate in experiments via animations online, also special gaps for reflections was left. The web resources were well integrated into practical learning experiences in the class, which were designed by the teacher,",i liked the ability to participate in experiments via animations online  also special gaps for reflections was left. the web resources were well integrated into practical learning experiences in the class  which were designed by the teacher ,like ability participate experiment animation online also special gap reflection leave web resource well integrate practical learning experience class design teacher 
"the wise activity is chuncks the material in small pieces for the students, making it easier for them to understand. also, the lesson is visual with animations, which make the learning stick. \r\nstudents experiment themselves, and learn by doing that. ",the wise activity is chuncks the material in small pieces for the students  making it easier for them to understand. also  the lesson is visual with animations  which make the learning stick.   students experiment themselves  and learn by doing that. ,wise activity chuncks material small piece student make easy understand also lesson visual animation make learning stick student experiment learn  
The aspects of the WISE activity that I thought were most effective are:\r\n-\tPractice: student are practicing when having the lecture\r\n-\tEngage student in learning through discussion groups\r\n-\tStudents are those who are in charge of conducting the experimentation\r\n-\tTurn the classroom to an active learning environment\r\n,the aspects of the wise activity that i thought were most effective are     tpractice  student are practicing when having the lecture    tengage student in learning through discussion groups    tstudents are those who are in charge of conducting the experimentation    tturn the classroom to an active learning environment  ,aspect wise activity think effective tpractice student practice lecture tengage student learn discussion group tstudents charge conduct experimentation classroom active learning environment 
I think that having at their disposal lots of materials to touch and experiment with allow the students to immediately check any hypothesis they can propose and have an immediate feed-back.\r\n\r\nAlso the possibility of working in couples or small groups and having the possibility to comment their ideas with a peer helps them to learn or to build their own learning.,i think that having at their disposal lots of materials to touch and experiment with allow the students to immediately check any hypothesis they can propose and have an immediate feed back.    also the possibility of working in couples or small groups and having the possibility to comment their ideas with a peer helps them to learn or to build their own learning.,think disposal lot material touch experiment student immediately check hypothesis propose immediate feed back also possibility work couple small group possibility comment idea peer help learn build learning  
"I think the WISE activity were most effective is simulations because it is very hard to understand physical concepts when we can't visualize them. In Italy we use to teach mathematical, physical and chemestry formulas that describe the concepts the students have to know but they are offten only an abstract concept. I think that the most important fact in learning is deep understanding and simulations help to understand very well.",i think the wise activity were most effective is simulations because it is very hard to understand physical concepts when we can't visualize them. in italy we use to teach mathematical  physical and chemestry formulas that describe the concepts the students have to know but they are offten only an abstract concept. i think that the most important fact in learning is deep understanding and simulations help to understand very well.,think wise activity effective simulation hard understand physical concept visualize italy use teach mathematical physical chemestry formula describe concept student know offten abstract concept think important fact learning deep understanding simulation help understand well  
"1.\tScaffolding of the learner research into manageable chunks \r\n2.\tTeacher being able to access  the learnerÈs ideas by using the assessment tool, thus making tracking easier for  her  knowing what kinds of ideas that learners are being bought into the lesson plus tracking the way as their understanding develops. (Formative Assessment) \r\n3.\tTeacherable moments as she roved the learnign space - to hold spontaneous discussions\r\n4.\tThe assessment tool allows the teacher to send them quick comments to students regarding their work - immediate feedback.\r\n5.\tRecord keeping - track of learners progress, collects learners reflections and measurements, and scaffolding their learning therefore the teacher is able to make ongoing professioanl judgements about  the learners learning. \r\n6.\tTeacher has more time to rove and listen, talk, and stimulate the  learners while they are doing their inquiry learning   that is allows for differentiation \r\n",1. tscaffolding of the learner research into manageable chunks   . tteacher being able to access  the learnerès ideas by using the assessment tool  thus making tracking easier for  her  knowing what kinds of ideas that learners are being bought into the lesson plus tracking the way as their understanding develops.  formative assessment    . tteacherable moments as she roved the learnign space   to hold spontaneous discussions  . tthe assessment tool allows the teacher to send them quick comments to students regarding their work   immediate feedback.  . trecord keeping   track of learners progress  collects learners reflections and measurements  and scaffolding their learning therefore the teacher is able to make ongoing professioanl judgements about  the learners learning.   . tteacher has more time to rove and listen  talk  and stimulate the  learners while they are doing their inquiry learning   that is allows for differentiation   , tscaffolding learner research manageable chunk tteacher able access learner ès idea use assessment tool thus make track easy know kind idea learner buy lesson track way understanding develops formative assessment tteacherable moment rove learnign space hold spontaneous discussion tthe assessment tool allow teacher send quick comment student regard work immediate feedback  trecord keep track learner progress collect learner reflection measurement scaffold learning teacher able make ongoing professioanl judgement learner learn  tteacher time rove listen talk stimulate learner inquiry learning allow differentiation 
"Having watched the video, I think that WISE is a very effective tool for students as well as teachers. It encourages the students to investigate and think for themselves, and as was stated in the end, it breaks down a difficult concept to small manageable parts, which helps the students to grasp the idea which was not quite easy to understand. I also noticed the visualization tool, which is probably quite good for students, especially young ones.",having watched the video  i think that wise is a very effective tool for students as well as teachers. it encourages the students to investigate and think for themselves  and as was stated in the end  it breaks down a difficult concept to small manageable parts  which helps the students to grasp the idea which was not quite easy to understand. i also noticed the visualization tool  which is probably quite good for students  especially young ones.,watch video think wise effective tool student well teacher encourage student investigate think state end break difficult concept small manageable part help student grasp idea quite easy understand also notice visualization tool probably quite good student especially young one  
applying various scenarios of different materials and came with real life cases we meet in our daily life,applying various scenarios of different materials and came with real life cases we meet in our daily life,apply various scenario different material come real life case meet daily life 
"The WISE activities are interactive and encourage students to make predictions, this is crucial in supporting critical thinking skills. When a student makes a prediction it means that they are drawing on previous knowledge. This helps organize information in their head and also gives teachers clear ideas about the students thinking process. \r\n\r\n The fact that the teacher can monitor student's progress and is provided with a permenant log that can be used to review students progress is really helpful. This allows the teacher to reflect on the areas in which students are progressing and also identify the concepts which commonly cause difficulties. The teacher can then use further classes to address these conceptul difficulties. \r\n\r\nAnother great teaching tool which the WISE programme provides is the ability to pull out ideas from the studentÎs work and share them on the screen with the class. This can be used to encourage students to peer assess each others work and collectively anaylse either correct thinking of address common flaws or new and interesting ideas which come out of the whole process. \r\n\r\nThe programme also allows differentiation as it can de edited and adapted. It has uses visual aids as well as encouraging writing. There are things for all different kinds of learners. It also allows students to work at their own pace and not that of the fastest student. \r\n\r\n We also saw in the video that students were taking the concepts they were learning about through the programme and applying them to the real world around them. They were exploring the materials in the classroom. \r\n\r\n",the wise activities are interactive and encourage students to make predictions  this is crucial in supporting critical thinking skills. when a student makes a prediction it means that they are drawing on previous knowledge. this helps organize information in their head and also gives teachers clear ideas about the students thinking process.      the fact that the teacher can monitor student's progress and is provided with a permenant log that can be used to review students progress is really helpful. this allows the teacher to reflect on the areas in which students are progressing and also identify the concepts which commonly cause difficulties. the teacher can then use further classes to address these conceptul difficulties.     another great teaching tool which the wise programme provides is the ability to pull out ideas from the studentîs work and share them on the screen with the class. this can be used to encourage students to peer assess each others work and collectively anaylse either correct thinking of address common flaws or new and interesting ideas which come out of the whole process.     the programme also allows differentiation as it can de edited and adapted. it has uses visual aids as well as encouraging writing. there are things for all different kinds of learners. it also allows students to work at their own pace and not that of the fastest student.      we also saw in the video that students were taking the concepts they were learning about through the programme and applying them to the real world around them. they were exploring the materials in the classroom.     ,wise activity interactive encourage student make prediction crucial support critical thinking skill student make prediction mean draw previous knowledge help organize information head also give teacher clear idea student think process fact teacher monitor student progress provide permenant log use review student progress really helpful allow teacher reflect area student progress also identify concept commonly cause difficulty teacher use far class address conceptul difficulty great teaching tool wise programme provide ability pull idea studentî work share screen class use encourage student peer assess others work collectively anaylse correct thinking address common flaw new interesting idea come whole process programme also allow differentiation de edit adapt use visual aid well encourage write thing different kind learner also allow student work pace fast student also saw video student take concept learn programme apply real world explore material classroom  
"What I thought was effective is breaking down the information for students.  Also, the video shows examples of the finger and bowl explaining how heat transfers with arrows was effective.  Not being able to see the heat transfer with the naked eye is a hindrance to students to understand the concept.  With the video visual and demonstrations students were able to understand the information more effectively. ",what i thought was effective is breaking down the information for students.  also  the video shows examples of the finger and bowl explaining how heat transfers with arrows was effective.  not being able to see the heat transfer with the naked eye is a hindrance to students to understand the concept.  with the video visual and demonstrations students were able to understand the information more effectively. ,think effective break information student also video show example finger bowl explain heat transfer arrow effective able see heat transfer naked eye hindrance student understand concept video visual demonstration student able understand information effectively  
"The WISE activity focused on developing students' conceptual understanding of thermodynamics, and not just an understanding of facts about the topic.  Also, since formative assessment questions were embedded in the WISE activity, the teacher was able to address student misconceptions in the moment.",the wise activity focused on developing students' conceptual understanding of thermodynamics  and not just an understanding of facts about the topic.  also  since formative assessment questions were embedded in the wise activity  the teacher was able to address student misconceptions in the moment.,wise activity focus develop student conceptual understanding thermodynamics understanding fact topic also formative assessment question embed wise activity teacher able address student misconception moment  
"Self-directed learning required from the students to discover about heat transfer and how it affects how different material feels upon touching. \r\n\r\nThe step by step process, as well as the online demonstration and the interactive models available on the website that students can make use of to see heat transfer. \r\n\r\nUsing WISE as a review also allowed the teacher to gather information and pick up wrong concepts that students might have during the course. ",self directed learning required from the students to discover about heat transfer and how it affects how different material feels upon touching.     the step by step process  as well as the online demonstration and the interactive models available on the website that students can make use of to see heat transfer.     using wise as a review also allowed the teacher to gather information and pick up wrong concepts that students might have during the course. ,self direct learn require student discover heat transfer affect different material feel touch step step process well online demonstration interactive model available website student make use see heat transfer use wise review also allow teacher gather information pick wrong concept student course  
"In my point of view the concept of this course is thermodynamics-- heat flow and materials, heat capacity and heat transfer. it is a very good technique. This way student can explor their own and get a very clear ideas.\r\n",in my point of view the concept of this course is thermodynamics   heat flow and materials  heat capacity and heat transfer. it is a very good technique. this way student can explor their own and get a very clear ideas.  ,point view concept course thermodynamics heat flow material heat capacity heat transfer good technique way student explor get clear idea  
"I think the simulation is an important and powerful feature that allow students to experience the concepts. They see the natural phenomena more easily. In addition, the WISE platform facilitates working groups, enabling sharing information and doing projects tasks in groups.",i think the simulation is an important and powerful feature that allow students to experience the concepts. they see the natural phenomena more easily. in addition  the wise platform facilitates working groups  enabling sharing information and doing projects tasks in groups.,think simulation important powerful feature allow student experience concept see natural phenomenon easily addition wise platform facilitate work group enable share information project task group  
"Students use the computer to learn, not only to enjoy. OK, to enjoy learning, no to waste their time.\r\nStudents have to get a product working together.\r\nStudents can find out that on the Internet there are good webs and bad webs.",students use the computer to learn  not only to enjoy. ok  to enjoy learning  no to waste their time.  students have to get a product working together.  students can find out that on the internet there are good webs and bad webs.,student use computer learn enjoy ok enjoy learn waste time student get product work together student find internet good web bad web  
"As Jennifer said, it seems that was very effective to provide students the opportunity to visualize closer the physical phenomena using gifs and pictures, also complementing the activity by pratical experiments. WISE is a very powerfull tool that can assist during science lessons due to the natural obstacle of some particulars subjects that demands a high power of visualization and belief. ",as jennifer said  it seems that was very effective to provide students the opportunity to visualize closer the physical phenomena using gifs and pictures  also complementing the activity by pratical experiments. wise is a very powerfull tool that can assist during science lessons due to the natural obstacle of some particulars subjects that demands a high power of visualization and belief. ,jennifer say seem effective provide student opportunity visualize close physical phenomenon use gifs picture also complement activity pratical experiment wise powerfull tool assist science lesson due natural obstacle particular subject demand high power visualization belief  
Students were very engage and were able to share their experiences and connect their ideas into coherent understandings.,students were very engage and were able to share their experiences and connect their ideas into coherent understandings.,student engage able share experience connect idea coherent understanding  
"One thing I really liked and thought was important was how WISE broke down the topic into smaller, manageable pieces and allowed the lesson to be scaffolded, building on each previous concept so students can make connections.",one thing i really liked and thought was important was how wise broke down the topic into smaller  manageable pieces and allowed the lesson to be scaffolded  building on each previous concept so students can make connections.,thing really like think important wise break topic small manageable piece allow lesson scaffold building previous concept student make connection  
"a. Real time simulations to help students understand the concept with practical example\r\nb. Encourages students in investigate, measure and think about the possible explanation\r\nc. Access various kinds of given by students\r\nd. Encourages differentiation instruction\r\ne. Self paced learning for students\r\n\r\n",a. real time simulations to help students understand the concept with practical example  b. encourages students in investigate  measure and think about the possible explanation  c. access various kinds of given by students  d. encourages differentiation instruction  e. self paced learning for students    , real time simulation help student understand concept practical example b encourages student investigate measure think possible explanation c access various kind give student encourages differentiation instruction e self pace learn student 
learning by doing is an incredible way to teach and WISE  was very good bcuse cathched student interest wich is one of the most common problem nowdays in our schools\r\n ,learning by doing is an incredible way to teach and wise  was very good bcuse cathched student interest wich is one of the most common problem nowdays in our schools   ,learning incredible way teach wise good bcuse cathched student interest wich common problem nowdays school 
"Through seeing the changes via simulations , students can understand  the topic more easily.Answering questions or experimenting which object's temperature is high is very interesting and i think they are all effective. ",through seeing the changes via simulations   students can understand  the topic more easily.answering questions or experimenting which object's temperature is high is very interesting and i think they are all effective. ,see change simulation student understand topic easily answer question experiment object temperature high interesting think effective  
"Breaking down the concepts, building the topic up, and allowing for testing their hypotheses and doing experiments learning was fostered.",breaking down the concepts  building the topic up  and allowing for testing their hypotheses and doing experiments learning was fostered.,break concept build topic allow test hypothesis experiment learn foster  
"I think WISE activity gave the students an opportunity to learn thought experimentation, they could word in groups, interacting, sharing experience and engaging discussion. This way helped them learn autonomously.",i think wise activity gave the students an opportunity to learn thought experimentation  they could word in groups  interacting  sharing experience and engaging discussion. this way helped them learn autonomously.,think wise activity give student opportunity learn think experimentation word group interact share experience engage discussion way help learn autonomously  
"The Wise program doesn't just try to tell students the right answer, but rather encourages them to investigate, measure, and think about the possible explanations.  It also allows the instructor the opportunity to track progress in real time and provide comments/feedback. ",the wise program doesn't just try to tell students the right answer  but rather encourages them to investigate  measure  and think about the possible explanations.  it also allows the instructor the opportunity to track progress in real time and provide comments feedback. ,wise program try tell student right answer rather encourage investigate measure think possible explanation also allow instructor opportunity track progress real time provide comment feedback  
I think the most important  aspect is the possibility of dividing the information into small pieces that can be better understood by students. Also the comments the teacher can make that allow control better the process of understanding. The discussion in small groups leadered by teacher is also a great idea. That is how student get involved in the activity and that leads to deep learning.,i think the most important  aspect is the possibility of dividing the information into small pieces that can be better understood by students. also the comments the teacher can make that allow control better the process of understanding. the discussion in small groups leadered by teacher is also a great idea. that is how student get involved in the activity and that leads to deep learning.,think important aspect possibility divide information small piece well understand student also comment teacher make allow control process understand discussion small group leadered teacher also great idea student get involve activity lead deep learning  
"WISE activity breaks down concepts into very small, manageable pieces, and then it helps the students, scaffolds them, to kind of build those ideas up to a more coherent understanding.",wise activity breaks down concepts into very small  manageable pieces  and then it helps the students  scaffolds them  to kind of build those ideas up to a more coherent understanding.,wise activity break concept small manageable piece help student scaffold kind build idea coherent understanding  
"WISE activity breaks down concepts into very small, manageable pieces, gave them a picture in their mind of how to see the heat moving through a system. And then it helps the students, scaffolds them, to kind of build those ideas up to a more coherent understanding. \r\n",wise activity breaks down concepts into very small  manageable pieces  gave them a picture in their mind of how to see the heat moving through a system. and then it helps the students  scaffolds them  to kind of build those ideas up to a more coherent understanding.   ,wise activity break concept small manageable piece give picture mind see heat move system help student scaffold kind build idea coherent understanding  
Letting the students to implement their ideas freely and even demonestrating it,letting the students to implement their ideas freely and even demonestrating it,let student implement idea freely even demonestrating 
Some of the aspects of the WISE activity that I thought were most effective were that it was student driven. It also gave the teacher the freedom to redirect the learning when needed and hold small group discussions about the material. I agree with the teacher that it was a great way to review the material. ,some of the aspects of the wise activity that i thought were most effective were that it was student driven. it also gave the teacher the freedom to redirect the learning when needed and hold small group discussions about the material. i agree with the teacher that it was a great way to review the material. ,aspect wise activity think effective student driven also give teacher freedom redirect learning need hold small group discussion material agree teacher great way review material  
The experimenting aspects. They were able to make predictions and test if those predictions were significantly right ,the experimenting aspects. they were able to make predictions and test if those predictions were significantly right ,experimenting aspect able make prediction test prediction significantly right 
- breaking down the concepts into smaller units\r\n- assessing the learning outcome\r\n- engaging students in the activity,  breaking down the concepts into smaller units    assessing the learning outcome    engaging students in the activity,break concept small unit assess learn outcome engage student activity 
I appreciate the tools for reflections which is often lacking in many tools. Students need to see their past work more than teachers ... have time... to review it. \r\nThe interactivity also adds emphasis to the key concept and may identify important misconceptions.,i appreciate the tools for reflections which is often lacking in many tools. students need to see their past work more than teachers ... have time... to review it.   the interactivity also adds emphasis to the key concept and may identify important misconceptions.,appreciate tool reflection often lack many tool student need see past work teacher   time   review interactivity also add emphasis key concept identify important misconception  
Trackingadapt  the way that students understanding develops and learn from them about what they're thinking and how they're responding to the materials.,trackingadapt  the way that students understanding develops and learn from them about what they're thinking and how they're responding to the materials.,way student understand develops learn think respond material  
"It seems to be a great tool that helps the students learn independently, concentrate on the research (here: inquiry) and collaborate to make progress. The teacher can monitor their students annonymously not to distract as well be part of the team.",it seems to be a great tool that helps the students learn independently  concentrate on the research  here  inquiry  and collaborate to make progress. the teacher can monitor their students annonymously not to distract as well be part of the team.,seem great tool help student learn independently concentrate research inquiry collaborate make progress teacher monitor student annonymously distract well part team  
"The WISE activity breaks the concept of heat into pieces and helps vizualize it, students can do simulations, put forward their own ideas and give explanations, compare results and collaborate, while the teacher can monitore the discussion, see where students need some help to move forward, and adjust the activity to students' needs.",the wise activity breaks the concept of heat into pieces and helps vizualize it  students can do simulations  put forward their own ideas and give explanations  compare results and collaborate  while the teacher can monitore the discussion  see where students need some help to move forward  and adjust the activity to students' needs.,wise activity break concept heat piece help vizualize student simulation put forward idea give explanation compare result collaborate teacher monitore discussion see student need help move forward adjust activity student need  
"I think the most important thing I could see in WISE is that students are not only consuming a huge amount of information but they also are practicing it. The example is clear, when they touch a surface and the temperature feel they can check what they are learning through the program.",i think the most important thing i could see in wise is that students are not only consuming a huge amount of information but they also are practicing it. the example is clear  when they touch a surface and the temperature feel they can check what they are learning through the program.,think important thing see wise student consume huge amount information also practice example clear touch surface temperature feel check learn program  
Students being able to see and work at their own pace. Go back and revisit. visualise. Teacher to modify lessons. ,students being able to see and work at their own pace. go back and revisit. visualise. teacher to modify lessons. ,student able see work pace go back revisit visualise teacher modify lesson  
One aspect that I thought was effective was that WISE broke down difficult concepts into chunks that were then used to scaffold the students knowledge.,one aspect that i thought was effective was that wise broke down difficult concepts into chunks that were then used to scaffold the students knowledge.,aspect think effective wise break difficult concept chunk use scaffold student knowledge  
